speed_rpm,torque_Nm,p_dc_W,p_mech_W,p_ac_W,eta_inverter,eta_motor,eta_total,v_dc_V,i_dc_A,v_ac_V,i_ac_A,t_stator_C
502,229.6,16078,12074,14966,0.931,0.807,0.751,500.9,38.27,215.8,108.2,78.4
502,289.0,21650,15219,20207,0.933,0.753,0.703,499.8,47.47,216.4,142.2,73.5
503,20.2,1363,1067,1235,0.906,0.864,0.783,504.1,4.37,95.2,14.7,69.9
503,30.2,1974,1592,1805,0.915,0.882,0.807,504.2,5.40,97.1,20.0,71.4
503,49.9,3224,2634,2973,0.922,0.886,0.817,504.1,7.94,104.5,29.4,73.5
503,60.0,3867,3165,3585,0.927,0.883,0.818,504.2,9.02,106.8,33.9,75.0
503,108.9,7141,5738,6679,0.935,0.859,0.804,504.1,15.75,116.9,54.7,91.9
503,119.0,7873,6275,7356,0.934,0.853,0.797,504.1,17.20,119.6,59.0,101.1
503,128.5,8543,6777,7976,0.934,0.850,0.793,504.1,18.52,121.0,62.9,108.8
503,148.8,10091,7848,9435,0.935,0.832,0.778,504.0,22.01,124.4,72.2,125.6
503,240.6,17418,12686,16243,0.933,0.781,0.728,501.0,41.59,215.9,114.1,107.7
503,247.0,18231,13011,16990,0.932,0.766,0.714,500.9,41.99,215.8,119.1,127.5
503,258.9,19811,13653,18417,0.930,0.741,0.689,500.9,45.16,215.7,128.7,149.9
503,337.3,27384,17782,26561,0.970,0.670,0.649,504.6,99.60,221.6,171.9,157.1
504,40.1,2590,2118,2382,0.920,0.889,0.818,504.2,6.65,101.8,24.8,72.7
504,89.7,5843,4740,5443,0.931,0.871,0.811,504.1,13.06,113.3,46.6,86.4
504,157.6,10809,8330,10116,0.936,0.824,0.771,504.0,23.72,125.9,76.5,144.7
505,99.5,6497,5265,6063,0.933,0.868,0.810,504.1,14.41,115.2,50.7,88.7
505,139.1,9385,7362,8773,0.935,0.839,0.784,504.1,20.48,123.4,67.9,121.2
505,197.8,14406,10463,13439,0.933,0.779,0.726,504.0,32.16,131.9,97.5,141.9
505,218.3,16576,11555,15453,0.932,0.748,0.697,504.0,38.60,135.1,108.5,193.2
505,270.5,21825,14308,20275,0.929,0.706,0.656,500.9,50.60,216.1,138.6,179.2
507,167.7,11775,8906,11007,0.935,0.809,0.756,504.0,25.60,127.6,81.9,153.9
508,323.0,25911,17217,24456,0.944,0.704,0.664,503.8,87.13,220.5,161.6,106.3
687,339.2,31671,24435,31265,0.987,0.782,0.771,504.8,116.87,226.6,175.6,146.1
692,356.0,34568,25823,34121,0.987,0.757,0.747,504.8,121.40,226.6,187.2,174.7
693,364.5,36181,26458,35628,0.985,0.744,0.732,504.7,122.88,227.2,190.7,170.7
697,296.2,28979,21639,27697,0.956,0.781,0.747,504.7,87.73,225.0,147.0,102.5
700,346.1,34669,25394,34218,0.987,0.742,0.733,504.7,119.59,227.2,181.3,192.7
701,129.6,11491,9523,10920,0.950,0.872,0.829,503.8,24.29,141.3,64.4,117.6
701,159.8,14625,11741,13933,0.953,0.843,0.803,503.7,30.62,145.6,78.8,142.8
701,198.7,18807,14595,17853,0.949,0.818,0.776,503.7,39.76,148.6,96.7,159.8
701,237.7,22779,17455,21585,0.948,0.809,0.766,500.8,50.58,220.1,115.4,153.2
702,40.0,3502,2944,3284,0.938,0.896,0.841,504.0,8.30,116.2,25.1,97.8
702,59.6,5162,4385,4875,0.944,0.900,0.850,503.9,11.43,122.9,33.9,95.8
702,228.8,21717,16822,20561,0.947,0.818,0.775,500.9,47.99,220.2,110.1,137.9
702,321.4,33383,23650,32317,0.968,0.732,0.709,504.6,97.87,225.8,166.2,183.3
703,20.2,1811,1487,1684,0.930,0.883,0.821,504.0,5.11,106.4,14.8,106.4
703,30.2,2661,2224,2487,0.935,0.894,0.836,504.0,6.74,112.3,20.2,99.6
703,179.8,16779,13252,15953,0.951,0.831,0.790,503.7,35.65,146.6,87.6,167.8
703,188.4,17604,13878,16703,0.949,0.831,0.788,503.7,37.15,146.6,91.5,141.6
703,251.0,24627,18486,23296,0.946,0.794,0.751,500.8,55.28,220.5,122.9,171.0
703,258.7,25752,19064,24363,0.946,0.783,0.740,500.8,57.09,220.5,128.2,187.0
703,267.7,26635,19719,25165,0.945,0.784,0.740,500.7,60.15,220.8,134.3,131.7
703,277.5,28555,20458,26962,0.944,0.759,0.716,500.7,65.24,221.3,140.8,170.1
703,328.2,33845,24169,33147,0.979,0.729,0.714,504.5,104.44,225.9,167.6,206.8
704,79.4,6892,5856,6537,0.949,0.896,0.850,503.9,14.93,128.6,42.4,97.6
704,89.7,7844,6612,7451,0.950,0.887,0.843,503.9,16.73,130.6,46.9,101.5
704,119.6,10616,8820,10082,0.950,0.875,0.831,503.8,22.34,138.6,59.9,114.9
704,139.6,12392,10302,11771,0.950,0.875,0.831,503.8,25.84,142.0,68.4,123.1
704,149.0,13430,10988,12746,0.949,0.862,0.818,503.7,28.11,144.7,73.5,135.4
704,169.2,15468,12473,14690,0.950,0.849,0.806,503.7,32.70,147.9,83.0,148.2
704,218.9,21520,16157,20390,0.947,0.792,0.751,503.8,46.18,154.5,109.4,189.3
704,285.5,27426,21048,25919,0.945,0.812,0.767,504.7,74.47,224.0,140.0,51.7
705,50.5,4375,3728,4118,0.941,0.905,0.852,503.9,9.94,119.8,29.9,96.5
705,69.8,6051,5155,5735,0.948,0.899,0.852,503.9,13.20,125.8,38.4,96.9
705,99.0,8768,7312,8315,0.948,0.880,0.834,503.8,18.72,133.2,51.1,104.6
705,108.8,9605,8042,9110,0.949,0.883,0.837,503.8,20.18,136.5,55.2,109.2
705,208.0,19804,15371,18757,0.947,0.820,0.776,503.7,41.86,150.7,101.1,173.6
715,308.2,30100,23087,29611,0.984,0.780,0.767,504.7,108.79,226.3,158.6,141.9
892,348.1,39620,32546,39205,0.990,0.830,0.822,503.5,124.88,231.0,182.5,186.8
892,374.8,40929,35011,40418,0.988,0.866,0.856,501.2,127.04,229.8,191.4,98.7
900,139.2,15423,13128,14796,0.959,0.887,0.851,503.7,31.89,158.4,68.0,120.1
900,257.9,30836,24315,29442,0.955,0.826,0.789,500.6,67.56,224.9,128.0,133.5
901,148.8,16878,14048,16102,0.954,0.872,0.832,503.6,34.99,162.0,74.0,125.2
901,188.5,21684,17803,20794,0.959,0.856,0.821,503.7,45.21,167.0,92.7,163.7
901,337.1,40151,31813,39408,0.981,0.808,0.793,503.5,112.79,229.6,174.3,128.3
902,99.9,10922,9441,10472,0.959,0.902,0.864,503.8,22.98,150.6,51.0,101.1
902,169.4,19483,16008,18672,0.958,0.857,0.822,503.6,40.30,165.4,84.3,142.4
902,217.8,25331,20579,24284,0.959,0.847,0.812,500.8,54.49,224.2,105.9,130.9
902,228.8,26915,21627,25765,0.957,0.839,0.804,500.8,58.37,224.5,111.7,154.5
902,239.4,28435,22623,27205,0.957,0.832,0.796,500.7,61.09,224.6,117.7,174.0
902,279.1,34960,26375,33370,0.955,0.790,0.754,500.6,79.43,226.1,142.1,194.0
902,288.1,36287,27229,34531,0.952,0.789,0.750,500.6,85.00,226.4,149.1,160.9
903,20.2,2321,1908,2181,0.940,0.875,0.822,503.9,5.96,122.2,15.0,105.8
903,29.8,3326,2821,3156,0.949,0.894,0.848,503.9,7.81,125.3,20.1,100.4
903,40.0,4415,3787,4205,0.952,0.901,0.858,503.8,9.95,131.5,25.2,99.0
903,50.1,5459,4735,5228,0.958,0.906,0.867,503.8,11.94,136.7,29.8,97.2
903,62.6,6679,5925,6390,0.957,0.927,0.887,503.8,14.46,137.9,34.8,96.7
903,178.4,20501,16874,19647,0.958,0.859,0.823,503.5,43.01,165.3,87.3,154.0
903,248.4,29760,23502,28456,0.956,0.826,0.790,500.7,65.77,225.3,121.7,190.3
903,269.9,32824,25520,31324,0.954,0.815,0.778,500.6,72.43,225.4,135.4,161.5
903,306.8,36776,29046,35760,0.972,0.812,0.790,503.4,99.81,229.0,153.3,103.0
904,128.8,14315,12195,13774,0.962,0.885,0.852,503.7,29.48,157.9,64.3,114.7
904,295.2,34547,27962,33127,0.959,0.844,0.809,503.3,85.64,227.8,143.8,43.5
904,325.9,41078,30861,39863,0.970,0.774,0.751,503.4,103.61,229.0,165.4,184.4
905,69.4,7571,6581,7218,0.953,0.912,0.869,503.8,16.25,143.2,38.2,97.0
905,79.9,8679,7579,8337,0.961,0.909,0.873,503.7,18.27,146.4,42.8,97.8
905,89.4,9718,8474,9339,0.961,0.907,0.872,503.7,20.28,146.7,46.7,99.6
905,109.5,11967,10384,11532,0.964,0.901,0.868,503.7,24.86,152.9,55.2,104.5
905,159.4,18004,15109,17302,0.961,0.873,0.839,503.6,37.25,162.4,78.3,132.5
905,197.8,23301,18768,22336,0.959,0.840,0.806,503.6,48.57,168.9,98.5,172.3
905,317.0,38709,30076,37727,0.975,0.797,0.777,503.4,102.53,229.2,159.0,142.9
906,120.1,13340,11398,12795,0.959,0.891,0.854,503.7,27.62,156.8,60.6,109.4
906,209.6,24763,19898,23717,0.958,0.839,0.804,503.5,51.61,170.7,104.9,186.2
906,364.6,43683,34608,42998,0.984,0.805,0.793,503.9,126.14,231.3,190.9,150.5
913,353.9,43617,33848,42934,0.984,0.789,0.777,503.7,123.41,230.8,188.6,156.1
1089,337.0,46589,38446,45849,0.984,0.839,0.825,501.1,122.72,233.3,175.4,148.0
1096,230.0,30727,26416,29650,0.965,0.891,0.860,500.4,64.96,228.3,107.8,86.4
1096,366.3,51279,42077,50509,0.985,0.833,0.821,501.7,134.30,234.4,191.3,192.0
1097,282.1,39656,32413,38151,0.962,0.850,0.818,500.3,87.29,230.4,137.3,194.4
1097,346.4,47779,39817,47151,0.987,0.845,0.834,501.2,132.09,234.5,183.7,206.0
1100,359.7,48612,41456,47925,0.986,0.865,0.853,501.8,131.03,233.6,188.4,130.6
1101,267.3,38166,30817,36774,0.964,0.838,0.807,500.3,85.33,230.1,131.8,181.1
1102,119.6,15652,13804,15138,0.967,0.912,0.882,503.6,32.12,169.3,59.0,88.9
1102,237.6,32303,27430,31158,0.965,0.880,0.849,500.4,68.76,228.6,112.7,100.4
1102,258.3,36100,29820,34786,0.964,0.857,0.826,500.3,78.55,229.2,125.3,132.4
1102,307.2,43249,35478,42288,0.978,0.839,0.820,501.3,108.06,232.2,154.1,108.7
1103,158.3,21161,18281,20443,0.966,0.894,0.864,503.6,43.35,177.7,77.4,138.3
1103,248.9,34232,28766,32994,0.964,0.872,0.840,500.4,73.76,229.0,119.1,114.7
1103,289.8,42243,33478,40658,0.962,0.823,0.793,500.2,96.10,231.4,145.6,172.2
1103,329.6,46775,38095,45983,0.983,0.829,0.815,501.3,121.10,233.3,170.7,187.0
1104,20.4,2827,2356,2686,0.950,0.877,0.834,503.8,6.98,135.4,14.7,69.3
1104,30.3,4101,3505,3923,0.957,0.893,0.855,503.8,9.41,137.9,20.1,68.7
1104,40.1,5367,4644,5144,0.958,0.903,0.865,503.8,11.91,142.8,25.0,68.9
1104,50.1,6603,5794,6380,0.966,0.908,0.877,503.8,14.09,150.9,29.6,69.8
1104,59.4,7766,6867,7493,0.965,0.917,0.884,503.7,16.50,149.4,33.7,70.6
1104,69.2,9115,8009,8784,0.964,0.912,0.879,503.7,19.26,155.7,37.8,72.1
1104,79.6,10407,9205,10074,0.968,0.914,0.884,503.6,21.72,161.5,42.3,73.7
1104,89.5,11671,10352,11298,0.968,0.916,0.887,503.6,24.25,160.7,46.3,78.0
1104,128.7,16848,14886,16279,0.966,0.914,0.884,503.7,34.77,173.3,63.2,94.6
1104,198.0,27227,22899,26285,0.965,0.871,0.841,503.4,56.33,184.9,97.7,166.0
1104,209.4,29563,24211,28504,0.964,0.849,0.819,503.4,61.99,188.1,105.7,177.0
1104,316.1,45409,36566,44559,0.981,0.821,0.805,501.2,115.20,233.2,163.5,148.5
1105,99.2,13016,11481,12566,0.965,0.914,0.882,503.6,26.96,163.9,50.4,81.7
1105,109.3,14242,12660,13759,0.966,0.920,0.889,503.6,29.39,166.5,54.4,84.2
1105,137.1,18169,15882,17544,0.966,0.905,0.874,503.6,37.40,172.3,66.6,100.9
1105,189.5,25876,21932,24954,0.964,0.879,0.848,503.4,53.31,182.9,93.0,157.2
1105,219.2,30816,25364,29675,0.963,0.855,0.823,503.3,64.65,189.3,110.1,194.1
1105,301.5,42211,34896,41051,0.972,0.850,0.827,501.3,103.54,231.7,149.7,77.4
1106,148.4,19669,17190,19050,0.969,0.902,0.874,503.7,40.29,175.2,72.4,133.0
1107,168.6,22889,19556,22134,0.967,0.884,0.854,503.5,47.28,179.6,82.4,143.3
1107,177.9,24365,20624,23479,0.964,0.878,0.846,503.5,50.89,182.7,88.3,147.2
1297,258.9,41788,35178,40505,0.969,0.868,0.842,500.3,90.82,233.6,127.3,147.6
1299,169.4,26456,23044,25581,0.967,0.901,0.871,503.8,53.91,193.8,82.2,127.1
1301,120.2,18186,16385,17847,0.981,0.918,0.901,503.6,37.24,183.3,59.3,94.0
1301,309.3,50326,42142,49358,0.981,0.854,0.837,501.7,118.33,235.5,156.7,137.4
1302,228.9,36584,31234,35512,0.971,0.880,0.854,500.4,77.18,232.8,111.5,135.1
1302,267.8,43640,36535,42307,0.969,0.864,0.837,500.3,96.18,233.8,132.9,165.7
1302,278.1,45978,37933,44558,0.969,0.851,0.825,500.2,101.45,234.3,140.0,189.3
1302,315.0,53418,42960,52405,0.981,0.820,0.804,501.7,122.76,235.8,167.4,183.7
1303,20.4,3309,2784,3131,0.946,0.889,0.842,503.8,7.83,141.7,14.7,81.9
1303,49.8,7725,6804,7442,0.963,0.914,0.881,503.9,16.40,159.0,29.5,77.1
1303,69.6,10757,9497,10362,0.963,0.916,0.883,503.7,22.47,166.1,38.2,78.4
1303,130.0,20076,17740,19415,0.967,0.914,0.884,503.6,41.10,185.6,64.0,102.9
1303,197.8,31327,26991,30440,0.972,0.887,0.862,503.1,64.67,199.5,96.9,160.0
1304,40.0,6283,5458,6013,0.957,0.908,0.869,503.6,13.79,156.8,25.0,77.1
1304,190.2,30090,25990,29113,0.968,0.893,0.864,503.4,61.77,198.0,93.0,152.2
1304,239.2,38559,32678,37413,0.970,0.873,0.848,500.4,82.29,233.9,116.9,154.7
1305,29.9,4754,4082,4552,0.958,0.897,0.859,503.8,10.53,148.1,20.0,78.0
1305,80.1,12318,10959,11914,0.967,0.920,0.890,503.9,25.62,173.1,42.6,79.4
1305,100.1,15407,13686,14859,0.964,0.921,0.888,503.6,31.75,178.4,50.9,86.2
1305,139.2,21509,19036,21050,0.979,0.904,0.885,503.3,44.12,187.5,68.4,107.7
1305,149.3,22877,20413,22184,0.970,0.920,0.892,503.5,46.56,189.5,72.1,114.7
1305,220.3,35875,30131,34810,0.970,0.866,0.840,503.0,75.37,204.5,111.0,189.1
1305,294.5,48046,40260,46711,0.972,0.862,0.838,501.8,107.86,235.1,148.1,87.8
1305,325.5,53902,44488,52914,0.982,0.841,0.825,501.5,125.52,235.4,174.5,117.5
1305,335.7,55954,45889,55029,0.983,0.834,0.820,501.5,131.62,235.9,183.4,180.2
1306,59.9,9200,8194,8943,0.972,0.916,0.891,503.7,19.32,162.6,34.0,77.6
1306,89.6,13623,12260,13255,0.973,0.925,0.900,503.2,28.20,176.1,46.5,83.0
1306,158.7,24629,21705,23974,0.973,0.905,0.881,503.3,50.43,193.2,77.6,118.1
1306,179.8,28280,24599,27389,0.969,0.898,0.870,503.5,58.05,196.1,87.7,143.4
1306,248.9,39613,34045,38442,0.970,0.886,0.859,500.4,85.45,234.3,120.9,114.6
1307,110.1,16815,15072,16281,0.968,0.926,0.896,503.7,34.44,181.2,55.1,90.4
1307,207.4,33340,28402,32418,0.972,0.876,0.852,503.0,69.69,202.7,104.3,173.6
1307,349.3,55774,47827,54916,0.985,0.872,0.858,501.7,134.65,236.5,186.2,124.0
1312,288.0,48430,39567,46928,0.969,0.843,0.817,500.2,105.68,236.5,147.3,186.6
1500,88.9,15502,13965,15087,0.973,0.926,0.901,504.3,31.70,186.5,46.0,71.5
1501,99.1,17272,15580,16828,0.974,0.926,0.902,504.4,35.26,191.9,50.5,78.1
1502,218.0,39882,34306,38900,0.975,0.882,0.860,504.0,80.99,219.1,110.4,174.4
1502,237.9,43408,37430,42373,0.976,0.883,0.862,500.2,90.42,237.1,116.8,122.0
1502,249.7,45221,39301,44128,0.976,0.891,0.869,500.2,94.61,237.4,122.1,141.1
1502,257.2,47121,40473,45947,0.975,0.881,0.859,500.2,98.14,237.7,127.1,161.9
1502,278.6,51887,43838,50573,0.975,0.867,0.845,500.1,110.28,238.9,141.0,142.4
1503,30.6,5533,4824,5349,0.967,0.902,0.872,504.4,12.16,159.0,20.2,58.9
1503,109.4,19067,17221,18565,0.974,0.928,0.903,504.5,38.83,193.2,54.5,81.6
1503,119.2,20760,18765,20248,0.975,0.927,0.904,504.6,42.08,195.3,58.7,84.5
1503,129.7,22668,20422,22102,0.975,0.924,0.901,504.4,46.05,201.1,63.8,87.7
1503,138.9,24391,21863,23722,0.973,0.922,0.896,504.5,49.30,200.5,67.5,94.0
1503,148.9,26079,23452,25426,0.975,0.922,0.899,504.4,52.66,203.3,71.8,99.2
1503,188.9,33580,29735,32766,0.976,0.908,0.886,504.3,67.82,211.4,91.4,128.5
1503,268.7,50187,42318,48931,0.975,0.865,0.843,500.1,105.47,238.3,134.8,185.7
1504,20.3,3794,3199,3637,0.958,0.880,0.843,504.6,8.80,152.3,14.6,57.8
1504,49.9,8771,7859,8529,0.972,0.921,0.896,504.4,18.47,176.5,29.6,61.4
1504,69.4,12185,10940,11850,0.973,0.923,0.898,504.5,25.22,180.0,37.8,67.9
1504,159.3,28049,25101,27356,0.975,0.918,0.895,504.4,56.72,207.2,77.2,105.7
1504,177.7,31455,27995,30681,0.975,0.912,0.890,504.4,63.51,208.6,85.2,121.3
1504,228.7,42051,36035,41021,0.975,0.878,0.857,503.9,85.30,218.2,113.5,191.0
1504,295.8,55755,46601,54131,0.971,0.861,0.836,500.0,133.40,230.3,153.5,201.1
1505,40.2,7198,6343,6972,0.969,0.910,0.881,504.4,15.40,169.3,25.0,59.8
1505,60.2,10633,9497,10319,0.970,0.920,0.893,504.5,22.25,174.3,34.0,64.4
1505,169.4,29842,26712,29126,0.976,0.917,0.895,504.3,60.28,207.5,81.8,110.9
1505,206.8,37395,32605,36515,0.976,0.893,0.872,504.0,75.72,215.1,101.2,164.5
1506,198.9,35915,31375,35039,0.976,0.895,0.874,504.1,72.71,215.3,98.6,141.1
1507,79.6,13945,12571,13542,0.971,0.928,0.901,504.5,28.55,187.8,42.5,68.7
1512,288.8,53954,45737,52403,0.971,0.873,0.848,500.0,120.66,234.7,147.2,148.0
1701,228.0,46043,40622,45119,0.980,0.900,0.882,500.1,94.13,240.2,112.5,125.4
1702,69.8,13845,12445,13487,0.974,0.923,0.899,504.5,28.34,188.2,38.6,90.1
1702,268.5,55479,47866,54376,0.980,0.881,0.863,500.0,112.82,241.4,135.5,197.9
1703,19.9,4173,3556,4022,0.964,0.884,0.852,504.6,9.46,160.6,14.6,107.9
1703,50.3,10026,8983,9751,0.973,0.921,0.896,504.4,20.78,173.1,30.6,91.7
1703,60.1,11862,10731,11587,0.977,0.926,0.905,504.4,24.42,183.9,34.3,90.4
1703,79.7,15714,14223,15358,0.977,0.926,0.905,504.2,32.06,192.5,42.7,90.3
1703,99.5,19646,17762,19226,0.979,0.924,0.904,504.3,39.85,202.9,51.3,92.0
1703,158.9,31306,28347,30698,0.981,0.923,0.905,504.1,63.06,218.2,76.9,117.4
1703,247.8,50830,44200,49777,0.979,0.888,0.870,500.1,104.10,240.8,124.3,164.3
1704,40.0,8053,7146,7806,0.969,0.915,0.887,504.5,16.96,169.5,25.5,95.3
1704,129.5,25413,23110,24879,0.979,0.929,0.909,504.2,51.26,207.7,63.4,100.8
1704,139.9,27480,24968,26904,0.979,0.928,0.909,504.2,55.26,210.9,68.0,107.0
1704,149.4,29565,26658,28960,0.980,0.921,0.902,504.1,59.47,212.9,72.4,112.3
1704,168.7,33465,30112,32763,0.979,0.919,0.900,504.0,67.32,215.5,81.0,126.0
1704,178.6,35573,31876,34878,0.980,0.914,0.896,504.0,71.53,218.7,86.0,134.7
1704,197.6,39572,35273,38830,0.981,0.908,0.891,503.9,79.94,224.5,95.7,155.4
1704,238.0,48651,42484,47657,0.980,0.891,0.873,500.1,99.41,240.6,118.7,144.5
1705,30.3,6141,5407,5959,0.970,0.907,0.881,504.6,13.19,161.5,20.8,98.7
1705,90.1,17884,16093,17491,0.978,0.920,0.900,504.3,36.33,200.3,47.4,90.6
1705,109.3,21533,19524,21042,0.977,0.928,0.907,504.3,43.49,202.2,55.1,96.9
1705,218.5,44372,39019,43546,0.981,0.896,0.879,503.8,89.72,230.9,107.9,177.3
1705,227.8,46617,40677,45685,0.980,0.890,0.873,503.8,93.79,229.0,111.7,192.0
1705,259.7,53594,46384,52495,0.979,0.884,0.866,500.0,109.53,241.7,130.9,183.4
1706,120.2,23751,21480,23229,0.978,0.925,0.904,504.2,47.89,208.5,59.9,98.4
1706,188.2,37702,33642,37002,0.981,0.909,0.892,504.0,75.96,223.3,91.3,149.7
1707,208.4,42159,37278,41335,0.980,0.902,0.884,503.9,84.96,226.3,101.5,171.1
1900,229.0,51348,45578,50442,0.982,0.904,0.888,500.0,104.20,242.1,118.3,144.5
1902,40.0,8972,7973,8723,0.972,0.914,0.889,504.3,18.76,172.7,26.5,61.8
1902,109.1,23774,21724,23315,0.981,0.932,0.914,504.1,47.96,212.4,54.7,90.1
1903,30.0,6834,5990,6618,0.968,0.905,0.877,504.3,14.61,166.5,21.6,60.8
1903,70.4,15451,14033,15098,0.977,0.929,0.908,504.2,31.55,198.1,38.4,70.5
1903,79.0,17322,15749,16934,0.978,0.930,0.909,504.2,35.29,192.6,43.5,74.2
1903,89.6,19621,17870,19183,0.978,0.932,0.911,504.2,39.89,194.1,48.8,77.1
1904,59.6,13158,11883,12865,0.978,0.924,0.903,504.2,26.96,188.8,34.3,69.6
1904,119.2,25992,23765,25542,0.983,0.930,0.914,504.0,52.44,219.3,59.1,92.8
1904,129.1,27939,25748,27430,0.982,0.939,0.922,504.1,56.24,219.4,62.9,100.7
1904,167.8,36829,33477,36215,0.983,0.924,0.909,503.9,74.60,228.6,81.1,131.8
1904,178.8,39346,35663,38709,0.984,0.921,0.906,503.8,79.41,231.6,86.2,141.2
1904,208.1,46503,41502,45726,0.983,0.908,0.892,503.9,93.46,231.3,102.0,167.6
1904,238.3,54123,47518,53193,0.983,0.893,0.878,499.9,109.81,242.6,124.3,170.8
1904,249.0,57109,49658,56146,0.983,0.885,0.870,499.9,115.74,241.2,130.4,193.8
1905,20.6,4796,4113,4615,0.962,0.891,0.858,504.4,10.55,159.5,16.7,60.3
1905,148.4,32323,29610,31805,0.984,0.931,0.916,504.1,65.28,225.0,71.8,119.7
1905,159.4,34891,31803,34335,0.984,0.926,0.912,503.9,70.62,229.3,77.1,124.4
1905,197.2,43791,39343,43045,0.983,0.914,0.898,504.0,88.21,230.3,95.9,159.0
1905,218.1,49006,43538,48200,0.984,0.903,0.888,503.7,98.55,232.9,107.4,177.5
1905,228.6,51714,45611,50837,0.983,0.897,0.882,503.6,103.82,232.3,114.3,190.3
1906,50.1,11149,10003,10832,0.972,0.923,0.897,504.2,22.98,173.9,32.3,63.2
1906,100.4,21850,20046,21422,0.980,0.936,0.918,504.1,44.17,209.3,51.0,86.0
1906,138.4,30119,27633,29597,0.983,0.934,0.917,504.1,60.57,222.1,67.3,113.4
1906,189.0,41874,37730,41171,0.983,0.916,0.901,503.9,84.33,230.2,91.5,152.4
2102,217.8,54387,47946,53434,0.982,0.897,0.882,503.5,109.03,233.1,117.1,180.7
2103,79.5,19025,17510,18683,0.982,0.937,0.920,504.1,38.64,211.8,42.2,76.2
2103,119.0,28546,26216,28095,0.984,0.933,0.918,504.0,57.57,224.4,59.3,90.4
2104,29.6,7399,6520,7219,0.976,0.903,0.881,504.3,15.73,179.4,20.3,70.9
